system,language,operation,ops_per_sec
sf,R,read_points,0.86
sf,R,read_regions,7.05
sf,R,spatial_join,0.78
sf,R,buffer_pts,0.18
geopandas,Python,read_points,0.99
geopandas,Python,read_regions,7.80
geopandas,Python,buffer_pts,0.36
geopandas,Python,spatial_join,6.79
sedonadb-pandas,Python,read_points,3.33
sedonadb-pandas,Python,read_regions,13.44
sedonadb-pandas,Python,buffer_pts,0.78
sedonadb-pandas,Python,spatial_join,1.35
sedonadb-polars,Python,read_points,4.09
sedonadb-polars,Python,read_regions,13.18
sedonadb-polars,Python,buffer_pts,1.14
sedonadb-polars,Python,spatial_join,1.19
sedonadb-sf,R,read_points,0.76
sedonadb-sf,R,read_regions,5.13
sedonadb-sf,R,buffer_pts,2.04
sedonadb-sf,R,spatial_join,25.76
duckdb-parquet,R,read_points,12.06
duckdb-parquet,R,read_regions,27.60
duckdb-memory,R,spatial_join,5.40
duckdb-memory,R,buffer_pts,0.66
duckdb-parquet,Python,read_points,6.23
duckdb-parquet,Python,read_regions,34.55
duckdb-memory,Python,spatial_join,1.56
duckdb-memory,Python,buffer_pts,0.20
